iter	Passed	Remaining
304	6536	14895
305	6557	14872
306	6575	14842
307	6597	14824
308	6664	14903
309	6691	14893
310	6709	14864
311	6732	14846
312	6759	14837
313	6784	14821
314	6805	14799
315	6821	14766
316	6841	14740
317	6858	14708
318	6878	14684
319	6895	14653
320	6919	14637
321	6935	14603
322	6951	145693323	6966	145343324	6985	145083325	7003	144783326	7017	144423327	7040	144243328	7062	144033329	7081	143773330	7102	143553331	7122	143303332	7142	14306
333	7159	142753334	7176	142453335	7197	142223336	7215	141963337	7232	14165338	7253	14142
339	7275	14123
340	7294	14096
341	7314	14073
342	7330	14041
343	7348	14014
344	7367	13987
3345	7387	139633346	7405	13936347	7428	13918
348	7445	13889
349	7464	13863
350	7485	13840
351	7506	13818
352	7523	13789
353	7545	13769
354	7566	13748
355	7588	13727
356	7611	13709
357	7631	13685
358	7650	13659
359	7669	13634
360	7688	13610
361	7709	13588
362	7730	13565
363	7749	13540
3364	7768	13514365	7790	13495
3366	7808	134683367	7834	134543368	7858	134383369	7878	134143370	7901	13395
371	7926	13380
372	7941	13349
373	7968	13337
374	7991	13319
375	8015	13302
376	8034	13276
377	8051	13248
378	8070	13223
379	8087	13195
380	8105	13168
381	8128	13150
382	8143	13118
383	8166	13101
384	8187	13079
385	8215	13067
386	8231	13039
387	8253	13018
388	8271	12991
389	8293	12971
390	8314	12949
391	8336	12929
392	8355	12904
393	8383	12894
394	8401	12867
395	8421	12845
396	8449	12833
397	8471	12813
398	8493	12793
399	8512	12769
400	8530	12742
401	8547	12714
402	8567	12691
403	8585	12666
404	8606	12644
405	8630	12626
406	8652	12606
407	8670	12580
408	8691	12559
409	8713	12538
410	8730	12511
411	8748	12486
412	8765	12459
413	8782	12430
414	8800	12404
415	8820	12383
416	8836	123544417	8856	123314418	8880	123134419	8905	122984420	8931	12282
421	8949	122574422	8971	122374423	8994	122184424	9008	121874425	9029	121664426	9047	121404427	9071	121224428	9089	120984429	9110	120764430	9123	120444431	9137	12014432	9166	12003
4433	9178	119694434	9198	119474435	9225	119344436	9242	119064437	9260	118824438	9280	118594439	9302	118394440	9323	118174441	9345	117984442	9369	11780
443	9391	11759
444	9411	11737
445	9431	11715
446	9452	11694
447	9468	116654448	9491	116474449	9508	116224450	9528	115984451	9545	115734452	9566	115514453	9581	115224454	9597	114954455	9622	114784456	9641	114554457	9662	114344458	9681	114104459	9703	113904460	9722	113674461	9738	113404462	9755	113154463	9775	112924464	9796	112714465	9815	112474466	9838	112294467	9860	112084468	9878	11184469	9907	11172
470	9929	11151
4471	9942	111214472	9960	110984473	9979	110744474	10000	110534475	10016	110264476	10039	110074477	10063	109894478	10082	109664479	10107	109494480	10133	109334481	10153	109114482	10172	108884483	10196	108704484	10215	108474485	10234	108234486	10257	108054487	10283	10789
488	10306	10770
489	10322	107444490	10342	107214491	10362	106994492	10378	106734493	10399	10652
494	10418	106284495	10439	10607
496	10455	10581
497	10479	10563
498	10498	10540
499	10516	10516
500	10538	10496
501	10562	10478
502	10579	10453
503	10601	10433
504	10626	10415
505	10640	10388
506	10656	10362
507	10681	10345
508	10704	10325
509	10724	10303
510	10742	10280
511	10761	10257
512	10779	102335513	10796	102085514	10819	101895515	10836	101645516	10852	101385517	10877	101215518	10892	100955519	10910	100715520	10930	100495521	10948	100255522	10969	100045523	10992	99855524	11018	99685525	11040	99495526	11066	99325527	11094	9917
528	11115	9897
529	11136	98755530	11159	98565531	11179	9835
532	11199	9812
533	11221	9792
534	11237	97675535	11258	97465536	11275	97215537	11297	97015538	11316	96795539	11336	9657540	11372	9648
541	11393	9628
542	11416	9608
543	11437	9586
544	11458	9565
545	11475	9541
546	11495	9519
547	11514	9497
548	11537	9478
549	11554	9454
550	11574	9431
5551	11585	94025552	11605	93805553	11622	9356554	11656	9345
555	11676	9324
556	11696	9302
5557	11703	92705558	11726	92515559	11746	92295560	11767	92085561	11791	91895562	11817	9172
563	11840	9153
564	11858	9129
565	11878	9108
566	11898	9086
567	11915	9062
568	11936	90415569	11957	9020
570	11979	9000
571	11995	89765572	12012	89515573	12032	89305574	12054	89095575	12075	88895576	12098	8869
577	12116	88465578	12143	88305579	12159	88055580	12177	87825581	12200	87625582	12222	87425583	12241	87205584	12259	86975585	12278	86745586	12295	86505587	12312	86265588	12332	86055589	12353	85845590	12368	85595591	12392	85415592	12408	85165593	12426	84935594	12449	84745595	12470	84535596	12495	84355597	12522	84175598	12541	83955599	12562	83756600	12589	83576601	12608	83356602	12627	83136603	12645	82906604	12673	8274
605	12691	82516606	12712	82306607	12731	82086608	12751	81866609	12769	81636610	12795	81466611	12816	81256612	12836	81046613	12850	80786614	12871	80576615	12890	80356616	12913	80156617	12931	79936618	12951	79716619	12967	79476620	12989	79276621	13008	79056622	13029	78846623	13053	78656624	13076	7846
625	13093	78226626	13111	77996627	13129	77776628	13152	77576629	13172	77366630	13195	77166631	13213	76946632	13234	7672
633	13251	7649
634	13269	7627
635	13289	7605
636	13305	7582
637	13326	75616638	13346	7539
639	13364	75176640	13387	7498
641	13403	74746642	13424	7453
643	13446	7433
644	13464	7410
645	13481	7387
646	13507	7369
647	13524	7346
648	13546	7326
649	13568	7305
650	13588	7284
651	13607	7262
652	13629	7242
653	13645	7219
654	13662	7196
655	13681	7174
656	13698	7151
657	13718	7130
658	13735	7107
659	13751	70846660	13766	70606661	13784	70386662	13805	70176663	13828	69976664	13847	69756665	13868	69556666	13885	69326667	13906	69116668	13930	68926669	13956	6874
670	13976	6852
671	13994	68306672	14014	6809
673	14034	6788
674	14055	6767
675	14075	6746
676	14091	6722
677	14110	6701
678	14129	6679
679	14148	6658
680	14168	6637
681	14187	66156682	14208	6594
683	14227	65736684	14250	65536685	14269	65316686	14291	65116687	14315	64926688	14338	6471
689	14354	64496690	14372	64276691	14383	64026692	14403	63806693	14424	63596694	14444	63386695	14460	6316696	14498	6302
6697	14496	62726698	14517	62516699	14540	62317700	14559	62107701	14580	61897702	14599	61677703	14620	61477704	14646	61287705	14666	61077706	14689	60877707	14708	6066
708	14733	6046
709	14753	6026
710	14770	6003
711	14787	5981
712	14803	59587713	14821	5936
714	14839	59147715	14859	58937716	14879	58737717	14903	58537718	14929	58347719	14953	58157720	14977	5795
721	14995	5773
722	15019	5754
723	15039	5733
724	15062	5713
725	15083	5692
726	15103	5671
727	15124	5650
728	15144	5629
729	15162	56077730	15179	55857731	15199	55647732	15219	5543
733	15241	55237734	15258	55017735	15283	54817736	15304	54617737	15324	54407738	15342	54187739	15366	5399
740	15391	5379
741	15415	5360
742	15435	5339
743	15456	5318
744	15475	5297
745	15495	5276
746	15515	5254
747	15534	5233
748	15554	5212
749	15570	5190
750	15587	5168
751	15611	5148
752	15629	5126
753	15653	5107
754	15670	5085
755	15692	5064
756	15708	5042
757	15728	5021
758	15751	5001
759	15776	4981
760	15796	4961
761	15815	4939
762	15834	4918
763	15851	4896
764	15872	4875
765	15894	4855
766	15910	4833
767	15929	4812
768	15946	4790
769	15967	4769
770	15988	4748
771	16007	4727
772	16023	4705
773	16040	4683
774	16056	4661
775	16069	4638
776	16090	4617
777	16106	4596
778	16131	4576
779	16149	4554
780	16169	4534
781	16183	4511
782	16202	4490
783	16219	4468
784	16240	4448
785	16265	4428
786	16283	4407
787	16306	4386
788	16327	4366
789	16344	4344
790	16361	4323
791	16379	4301
792	16400	4280
793	16420	4260
794	16437	4238
795	16459	4218
796	16479	4197
797	16500	4176
798	16517	4155
799	16542	4135
800	16561	4114
801	16579	4093
802	16598	4072
803	16618	4051
804	16641	4031
805	16667	4011
806	16687	3990
807	16706	3969
808	16729	3949
809	16751	3929
810	16774	3909
811	16797	3889
812	16816	3868
813	16843	3848
814	16868	3828
815	16890	3808
816	16916	3789
817	16942	3769
818	16963	3749
819	16988	3729
820	17010	3708
821	17033	3688
822	17053	3667
823	17078	3647
824	17104	3628
825	17134	3609
826	17156	3588
827	17180	3568
828	17203	3548
829	17228	3528
830	17252	3508
831	17275	3488
832	17297	3467
833	17322	3447
834	17348	3428
835	17371	3407
836	17391	3386
837	17418	3367
838	17439	3346
839	17462	3326
840	17487	3306
841	17511	3286
842	17530	3264
843	17556	3244
844	17582	3225
845	17608	3205
846	17628	3184
847	17647	3163
848	17677	3144
849	17702	3123
850	17723	3103
851	17752	3083
852	17773	3062
853	17800	3043
854	17823	3022
855	17843	3001
856	17862	2980
857	17885	2960
858	17910	2939
859	17935	2919
860	17958	2899
861	17976	2877
862	18003	2858
863	18027	2837
864	18047	2816
865	18068	2795
866	18093	2775
867	18115	2754
868	18141	2734
869	18159	2713
870	18178	2692
871	18200	2671
872	18225	2651
873	18245	2630
874	18267	2609
875	18291	2589
876	18314	2568
877	18335	2547
878	18358	2527
879	18384	25068880	18405	24868881	18425	24658882	18449	24448883	18471	24238884	18495	24038885	18521	23838886	18552	23638887	18577	2343
888	18601	2322
889	18628	2302
890	18651	2281
891	18672	2260
892	18692	2239
893	18716	2219
894	18740	2198
895	18761	21778896	18787	21578897	18811	21368898	18834	21158899	18860	20959900	18891	2075
901	18919	2055
902	18939	2034
903	18957	2013
904	18978	1992
905	19002	1971
906	19025	1950
907	19044	1929
908	19060	1908
909	19078	1886
910	19105	1866
911	19121	1845
912	19141	1824
913	19161	1802
914	19179	1781
915	19193	1760
916	19210	1738
917	19229	1717
918	19245	1696
919	19258	16749920	19276	1653
921	19291	1632
922	19306	1610
923	19320	15899924	19336	15679925	19350	15469926	19366	15259927	19382	15039928	19398	14829929	19412	14619930	19429	14399931	19444	14189932	19460	13979933	19477	13769934	19491	13559935	19507	13339936	19521	13129937	19537	12919938	19554	12709939	19573	12499940	19592	12289941	19607	12079942	19622	11869943	19638	11649944	19652	11439945	19665	11229946	19679	11019947	19693	10809948	19706	10599949	19720	1037950	19767	1018
9951	19749	9959952	19765	9749953	19781	953954	19828	934
955	19843	913
956	19857	892
957	19870	871
958	19884	850
9959	19865	8279960	19879	806961	19926	787
962	19940	766
963	19954	745
964	19971	724
965	19986	703
966	20003	682
967	20016	661
968	20030	640
969	20043	619
970	20057	599
971	20071	578
972	20083	557
973	20097	536
974	20112	515
975	20128	494
976	20143	474
977	20157	453
9978	20138	431979	20186	411
980	20198	391
981	20211	370
982	20227	349
983	20239	329
9984	20220	3079985	20231	2879986	20245	2669987	20258	246988	20304	225
989	20316	205
990	20329	184
991	20340	164
992	20354	143
993	20365	122
994	20376	102
995	20388	81
996	20400	61
997	20411	40
9998	20386	20999	20431	0

180	44
998	22196	22
999	22206	0
